    Energy    <xanes>    
  11364.00  6.9196193E-03
  11364.04  6.9203167E-03
  11364.04  6.9204099E-03
  11364.06  6.9207931E-03
  11364.11  6.9217708E-03
  11364.12  6.9219801E-03
  11364.12  6.9221291E-03
  11364.13  6.9222347E-03
  11364.14  6.9225609E-03
  11364.16  6.9230495E-03
  11364.17  6.9234131E-03
  11364.19  6.9240867E-03
  11364.19  6.9241201E-03
  11364.22  6.9250443E-03
  11364.22  6.9251843E-03
  11364.22  6.9252209E-03
  11364.24  6.9257164E-03
  11364.24  6.9260735E-03
  11364.25  6.9263212E-03
  11364.26  6.9265783E-03
  11364.26  6.9267497E-03
  11364.26  6.9269212E-03
  11364.27  6.9272642E-03
  11364.28  6.9276501E-03
  11364.29  6.9279074E-03
  11364.29  6.9279932E-03
  11364.32  6.9293231E-03
  11364.32  6.9294089E-03
  11364.33  6.9296664E-03
  11364.36  6.9308253E-03
  11364.36  6.9310399E-03
  11364.86  6.9525421E-03
  11365.36  6.9741588E-03
  11365.68  6.9882253E-03
  11366.18  7.0100325E-03
  11366.68  7.0319566E-03
  11367.18  7.0539985E-03
  11367.68  7.0761590E-03
  11368.18  7.0984392E-03
  11368.68  7.1208399E-03
  11369.18  7.1433622E-03
  11369.68  7.1660069E-03
  11370.18  7.1887751E-03
  11370.68  7.2116677E-03
  11371.18  7.2346857E-03
  11371.68  7.2578302E-03
  11372.18  7.2811021E-03
  11372.68  7.3045025E-03
  11373.18  7.3280324E-03
  11373.68  7.3516928E-03
  11374.18  7.3754849E-03
  11374.68  7.3994096E-03
  11375.18  7.4234681E-03
  11375.68  7.4476615E-03
  11376.18  7.4719908E-03
  11376.68  7.4964572E-03
  11377.18  7.5210618E-03
  11377.68  7.5458058E-03
  11378.18  7.5706903E-03
  11378.68  7.5957164E-03
  11379.18  7.6208854E-03
  11379.68  7.6461985E-03
  11380.18  7.6716568E-03
  11380.68  7.6972616E-03
  11381.18  7.7230141E-03
  11381.68  7.7489155E-03
  11382.18  7.7749671E-03
  11382.68  7.8011703E-03
  11383.18  7.8275262E-03
  11383.68  7.8540362E-03
  11384.18  7.8807016E-03
  11384.68  7.9075237E-03
  11385.18  7.9345040E-03
  11385.68  7.9616436E-03
  11386.18  7.9889441E-03
  11386.68  8.0164069E-03
  11387.18  8.0440332E-03
  11387.68  8.0718246E-03
  11388.18  8.0997826E-03
  11388.68  8.1279085E-03
  11389.18  8.1562039E-03
  11389.68  8.1846702E-03
  11390.18  8.2133090E-03
  11390.68  8.2421218E-03
  11391.18  8.2711101E-03
  11391.68  8.3002755E-03
  11392.18  8.3296197E-03
  11392.68  8.3591441E-03
  11393.18  8.3888505E-03
  11393.68  8.4187404E-03
  11394.18  8.4488156E-03
  11394.68  8.4790777E-03
  11395.18  8.5095285E-03
  11395.68  8.5401695E-03
  11396.18  8.5710027E-03
  11396.68  8.6020298E-03
  11397.18  8.6332525E-03
  11397.68  8.6646727E-03
  11398.18  8.6962922E-03
  11398.68  8.7281128E-03
  11399.18  8.7601365E-03
  11399.68  8.7923651E-03
  11400.18  8.8248005E-03
  11400.68  8.8574448E-03
  11401.18  8.8902999E-03
  11401.68  8.9233678E-03
  11402.18  8.9566505E-03
  11402.68  8.9901500E-03
  11403.18  9.0238685E-03
  11403.68  9.0578080E-03
  11404.18  9.0919707E-03
  11404.68  9.1263587E-03
  11405.18  9.1609743E-03
  11405.68  9.1958195E-03
  11406.18  9.2308968E-03
  11406.68  9.2662082E-03
  11407.18  9.3017562E-03
  11407.68  9.3375431E-03
  11408.18  9.3735712E-03
  11408.68  9.4098430E-03
  11409.18  9.4463607E-03
  11409.68  9.4831270E-03
  11410.18  9.5201443E-03
  11410.68  9.5574151E-03
  11411.18  9.5949419E-03
  11411.68  9.6327274E-03
  11412.18  9.6707742E-03
  11412.68  9.7090849E-03
  11413.18  9.7476623E-03
  11413.68  9.7865090E-03
  11414.18  9.8256279E-03
  11414.68  9.8650217E-03
  11415.18  9.9046933E-03
  11415.68  9.9446456E-03
  11416.18  9.9848814E-03
  11416.68  1.0025404E-02
  11417.18  1.0066216E-02
  11417.68  1.0107321E-02
  11418.18  1.0148721E-02
  11418.68  1.0190420E-02
  11419.18  1.0232421E-02
  11419.68  1.0274728E-02
  11420.18  1.0317343E-02
  11420.68  1.0360270E-02
  11421.18  1.0403512E-02
  11421.68  1.0447073E-02
  11422.18  1.0490955E-02
  11422.68  1.0535164E-02
  11423.18  1.0579701E-02
  11423.68  1.0624572E-02
  11424.18  1.0669778E-02
  11424.68  1.0715325E-02
  11425.18  1.0761216E-02
  11425.68  1.0807455E-02
  11426.18  1.0854045E-02
  11426.68  1.0900991E-02
  11427.18  1.0948297E-02
  11427.68  1.0995966E-02
  11428.18  1.1044003E-02
  11428.68  1.1092412E-02
  11429.18  1.1141198E-02
  11429.68  1.1190363E-02
  11430.18  1.1239914E-02
  11430.68  1.1289855E-02
  11431.18  1.1340189E-02
  11431.68  1.1390922E-02
  11432.18  1.1442058E-02
  11432.68  1.1493602E-02
  11433.18  1.1545559E-02
  11433.68  1.1597933E-02
  11434.18  1.1650730E-02
  11434.68  1.1703955E-02
  11435.18  1.1757612E-02
  11435.68  1.1811707E-02
  11436.18  1.1866246E-02
  11436.68  1.1921233E-02
  11437.18  1.1976674E-02
  11437.68  1.2032575E-02
  11438.18  1.2088941E-02
  11438.68  1.2145779E-02
  11439.18  1.2203093E-02
  11439.68  1.2260889E-02
  11440.18  1.2319175E-02
  11440.68  1.2377955E-02
  11441.18  1.2437237E-02
  11441.68  1.2497026E-02
  11442.18  1.2557328E-02
  11442.68  1.2618152E-02
  11443.18  1.2679502E-02
  11443.68  1.2741386E-02
  11444.18  1.2803811E-02
  11444.68  1.2866783E-02
  11445.18  1.2930310E-02
  11445.68  1.2994399E-02
  11446.18  1.3059058E-02
  11446.68  1.3124294E-02
  11447.18  1.3190114E-02
  11447.68  1.3256527E-02
  11448.18  1.3323539E-02
  11448.68  1.3391160E-02
  11449.18  1.3459398E-02
  11449.68  1.3528260E-02
  11450.18  1.3597755E-02
  11450.68  1.3667893E-02
  11451.18  1.3738681E-02
  11451.68  1.3810129E-02
  11452.18  1.3882245E-02
  11452.68  1.3955040E-02
  11453.18  1.4028522E-02
  11453.68  1.4102701E-02
  11454.18  1.4177588E-02
  11454.68  1.4253191E-02
  11455.18  1.4329522E-02
  11455.68  1.4406590E-02
  11456.18  1.4484406E-02
  11456.68  1.4562981E-02
  11457.18  1.4642326E-02
  11457.68  1.4722453E-02
  11458.18  1.4803372E-02
  11458.68  1.4885095E-02
  11459.18  1.4967634E-02
  11459.68  1.5051001E-02
  11460.18  1.5135209E-02
  11460.68  1.5220271E-02
  11461.18  1.5306198E-02
